A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	492.9     	7         	          	          	3.7       	11        	0.018       	5         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	614.0     	15        	          	          	0.17      	7         	0.0010      	4         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	815.2     	5         	          	          	8.3       	19        	0.068       	16        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1016.7    	5         	          	          	6.7       	21        	0.068       	22        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1116.5    	6         	          	          	0.50      	14        	0.0056      	16        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1298.2    	9         	          	          	0.43      	14        	0.0056      	18        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1608.8    	11        	          	          	1.3       	3         	0.020       	5         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1701.44   	          	          	          	33        	4         	0.57        	7         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1822.25   	21        	          	          	15.8      	20        	0.29        	4         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	1919.3    	5         	          	          	6.4       	11        	0.123       	21        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	2128.8    	7         	          	          	23        	4         	0.48        	10        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	2314.2    	8         	          	          	2.6       	9         	0.059       	22        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	2414.3    	4         	          	          	5.0       	12        	0.12        	3         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	2515.9    	13        	          	          	1.0       	4         	0.024       	9         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	2734.2    	5         	          	          	4.0       	7         	0.108       	19        
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	3431.4    	4         	          	          	8.5       	11        	0.29        	4         
23 	F      	9  	14 	0          	     	5/2+      	B-      	2.23 S 13     	2.23              	23NE    	G        	            	3830.7    	4         	          	          	2.3       	4         	0.087       	15        
26 	F      	9  	17 	0          	     	(1+)      	B-      	9.7 MS 7      	0.0097            	26NE    	BM       	            	6818      	70        	1.410E+4  	17        	18.7      	22        	1.27        	15        
26 	F      	9  	17 	0          	     	(1+)      	B-      	9.7 MS 7      	0.0097            	26NE    	BM       	            	7645      	70        	1.577E+4  	17        	49        	7         	3.7         	5         
26 	F      	9  	17 	0          	     	(1+)      	B-      	9.7 MS 7      	0.0097            	26NE    	BM       	            	8642      	69        	1.779E+4  	17        	22        	7         	1.9         	6         
26 	F      	9  	17 	0          	     	(1+)      	B-      	9.7 MS 7      	0.0097            	26NE    	BM AV    	            	7.7E+3    	13        	          	          	90        	10        	6.9         	14        
26 	F      	9  	17 	0          	     	(1+)      	B-      	9.7 MS 7      	0.0097            	26NE    	G        	            	1673.0    	3         	          	          	18.7      	22        	0.31        	4         
26 	F      	9  	17 	0          	     	(1+)      	B-      	9.7 MS 7      	0.0097            	26NE    	G        	            	2018.2    	1         	          	          	67        	6         	1.36        	12        
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	BP       	            	733.6     	23        	1723      	5         	0.188     	6         	0.00138     	4         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	BP       	            	1023.2    	24        	2343      	5         	0.0021    	3         	2.1E-5      	3         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	BP       	            	1041.6    	24        	2382      	5         	7.69      	21        	0.0801      	22        
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	BP       	            	1539.6    	25        	3424      	5         	92.08     	21        	1.418       	4         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	BP AV    	            	1500      	6         	          	          	100.0     	3         	1.499       	8         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	E        	Auger K     	0.66      	          	          	          	0.02989   	17        	1.973E-7    	11        
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	XR ka1      	0.677     	          	          	          	2.7E-4    	12        	1.8E-9      	8         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	XR ka2      	0.677     	          	          	          	1.3E-4    	5         	9.E-10      	3         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	Annihil.    	511.0     	          	          	          	199.9     	6         	            	          
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	            	659.25    	20        	          	          	0.135     	5         	8.9E-4      	3         
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	            	1041.52   	8         	          	          	7.83      	21        	0.0816      	22        
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	            	1080.51   	12        	          	          	0.00226   	21        	2.44E-5     	23        
18 	NE     	10 	8  	0          	     	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	            	1700.72   	18        	          	          	0.0538    	18        	9.1E-4      	3         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	BP       	            	262.9     	3         	662.4     	6         	0.00213   	20        	5.6E-6      	5         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	BP       	            	911.5     	3         	2106.5    	6         	0.0120    	20        	1.09E-4     	18        
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	BP       	            	963.1     	3         	2216.4    	6         	99.8880   	20        	0.9620      	3         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	BP AV    	            	963.1     	3         	          	          	99.902    	3         	0.9621      	3         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	E        	Auger K     	0.66      	          	          	          	0.093327  	8         	6.1596E-7   	6         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	XR ka1      	0.677     	          	          	          	8.E-4     	4         	6.E-9       	3         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	XR ka2      	0.677     	          	          	          	4.0E-4    	16        	2.7E-9      	11        
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	            	109.894   	5         	          	          	0.0120    	20        	1.32E-5     	22        
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	            	197.142   	4         	          	          	0.00206   	20        	4.1E-6      	4         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	Annihil.    	511.0     	          	          	          	199.804   	6         	            	          
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	            	1356.843  	10        	          	          	0.00206   	20        	2.8E-5      	3         
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	            	1444.085  	10        	          	          	1.08E-4   	11        	1.56E-6     	16        
19 	NE     	10 	9  	0          	     	1/2+      	B+      	17.22 S 2     	17.22             	19F     	G        	            	1553.970  	9         	          	          	5.7E-5    	6         	8.9E-7      	9         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	BM       	            	556.72    	9         	1393.75   	11        	0.065     	3         	3.62E-4     	17        
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	BM       	            	977.33    	10        	2299.80   	10        	1.10      	4         	0.0108      	4         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	BM       	            	1765.02   	10        	3935.82   	10        	32.0      	13        	0.565       	23        
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	BM       	            	1979.70   	10        	4375.81   	10        	66.9      	13        	1.32        	3         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	BM AV    	            	1.90E+3   	5         	          	          	100.1     	18        	1.90        	6         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	G        	            	439.986   	          	          	          	33.0      	13        	0.145       	6         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	G        	            	1635.96   	          	          	          	1.00      	4         	0.0164      	7         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	G        	            	2075.91   	          	          	          	0.101     	6         	0.00210     	12        
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	G        	            	2541.92   	          	          	          	0.0270    	20        	6.9E-4      	5         
23 	NE     	10 	13 	0          	     	5/2+      	B-      	37.24 S 12    	37.24             	23NA    	G        	            	2981.85   	          	          	          	0.0380    	20        	0.00113     	6         
24 	NE     	10 	14 	0          	     	0+        	B-      	3.38 M 2      	202.8             	24NA    	BM       	            	436       	4         	1120.0    	4         	7.90      	20        	0.0344      	9         
24 	NE     	10 	14 	0          	     	0+        	B-      	3.38 M 2      	202.8             	24NA    	BM       	            	835       	5         	1994.4    	4         	92.10     	20        	0.769       	5         
24 	NE     	10 	14 	0          	     	0+        	B-      	3.38 M 2      	202.8             	24NA    	BM AV    	            	803       	5         	          	          	100.0     	3         	0.803       	6         
24 	NE     	10 	14 	0          	     	0+        	B-      	3.38 M 2      	202.8             	24NA    	G        	            	472.2024  	8         	          	          	100.00    	20        	0.4722      	9         
24 	NE     	10 	14 	0          	     	0+        	B-      	3.38 M 2      	202.8             	24NA    	G        	            	874.41    	          	          	          	7.90      	20        	0.0691      	17        
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	BM       	            	1293      	14        	2.96E+3   	3         	0.53      	15        	0.0069      	19        
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	BM       	            	1584      	15        	3.56E+3   	3         	1.2       	3         	0.019       	5         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	BM       	            	2309      	15        	5.05E+3   	3         	2.1       	5         	0.048       	12        
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	BM       	            	2866      	15        	6.18E+3   	3         	19.5      	20        	0.56        	6         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	BM       	            	3349      	15        	7.16E+3   	3         	76.6      	20        	2.57        	7         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	BM AV    	            	3.20E+3   	13        	          	          	100       	3         	3.20        	16        
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	89.53     	10        	          	          	95.4      	8         	0.0854      	7         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	979.77    	16        	          	          	18.1      	19        	0.177       	19        
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	1069.30   	19        	          	          	2.3       	4         	0.025       	4         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	1132.8    	10        	          	          	0.4       	3         	0.005       	3         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	2112.5    	10        	          	          	0.62      	19        	0.013       	4         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	2202.0    	10        	          	          	1.1       	3         	0.024       	7         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	3220      	3         	          	          	0.53      	15        	0.017       	5         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	3599      	3         	          	          	0.22      	16        	0.008       	6         
25 	NE     	10 	15 	0.0        	     	1/2+      	B-      	602 MS 8      	0.602             	25NA    	G        	            	3688      	3         	          	          	0.96      	24        	0.035       	9         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4163      	55        	8.81E+3   	11        	3.0       	6         	0.12        	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4211      	55        	8.90E+3   	11        	2.6       	6         	0.11        	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4262      	55        	9.01E+3   	11        	1.3       	4         	0.055       	17        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4298      	55        	9.08E+3   	11        	1.6       	4         	0.069       	17        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4540      	55        	9.57E+3   	11        	11.0      	10        	0.50        	5         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4649      	55        	9.79E+3   	11        	8.9       	9         	0.41        	4         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4902      	55        	1.030E+4  	11        	1.1       	6         	0.05        	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	4949      	55        	1.040E+4  	11        	0.9       	6         	0.04        	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	5179      	55        	1.086E+4  	11        	3.4       	5         	0.18        	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	6002      	55        	1.253E+4  	11        	4.2       	13        	0.25        	8         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM       	            	6034      	55        	1.259E+4  	11        	60        	3         	3.59        	18        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	BM AV    	            	5.5E+3    	3         	          	          	98        	4         	5.4         	4         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	63        	          	          	          	21.1      	7         	0.0133      	4         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	1665      	          	          	          	3.0       	5         	0.050       	8         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	1728      	          	          	          	0.43      	17        	0.007       	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	2067      	          	          	          	3.2       	5         	0.066       	10        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	2129      	          	          	          	1.0       	3         	0.021       	6         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	2225      	          	          	          	4.3       	6         	0.096       	13        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	2736      	          	          	          	5.9       	8         	0.161       	22        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	2799      	          	          	          	3.0       	5         	0.084       	14        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	2956      	          	          	          	2.7       	5         	0.080       	15        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	3019      	          	          	          	8.4       	9         	0.25        	3         
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	3508      	          	          	          	1.6       	4         	0.056       	14        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	3582      	          	          	          	1.3       	4         	0.047       	14        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	3685      	          	          	          	2.6       	6         	0.096       	22        
27 	NE     	10 	17 	0.0        	     	(3/2+)    	B-      	31.5 MS 13    	0.0315            	27NA    	G        	            	3781      	          	          	          	3.2       	6         	0.121       	23        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	817       	71        	2.01E+3   	10        	3.7       	5         	0.030       	5         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	4103      	75        	8.74E+3   	10        	12.0      	10        	0.49        	4         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	4143      	50        	8.77E+3   	10        	0.90      	20        	0.037       	8         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	4254      	50        	8.99E+3   	10        	1.3       	3         	0.055       	13        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	4537      	50        	9.57E+3   	10        	8.5       	6         	0.39        	3         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	4832      	50        	1.016E+4  	10        	20.1      	12        	0.97        	6         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	4924      	50        	1.035E+4  	10        	1.7       	4         	0.084       	20        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	5260      	50        	1.103E+4  	10        	0.25      	25        	0.013       	13        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	5320      	50        	1.115E+4  	10        	0.25      	25        	0.013       	13        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	5853      	50        	1.222E+4  	10        	1.0       	10        	0.06        	6         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM       	            	5880      	50        	1.228E+4  	10        	55        	5         	3.2         	3         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	BM AV    	            	5.1E+3    	4         	          	          	105       	5         	5.4         	5         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	55        	          	          	          	14.6      	15        	0.0080      	8         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	596       	          	          	          	1.29      	16        	0.0077      	10        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	782       	          	          	          	1.68      	20        	0.0131      	16        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	864.5     	4         	          	          	4.4       	4         	0.038       	3         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1076      	          	          	          	1.41      	20        	0.0152      	22        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1131      	          	          	          	1.28      	19        	0.0145      	21        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1200      	          	          	          	1.23      	19        	0.0148      	23        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1255      	          	          	          	3.2       	3         	0.040       	4         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1583      	          	          	          	2.4       	3         	0.037       	5         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1877      	          	          	          	1.8       	3         	0.034       	6         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	1932      	          	          	          	1.58      	25        	0.031       	5         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	2062.9    	3         	          	          	15.6      	11        	0.322       	23        
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	2118      	          	          	          	1.34      	24        	0.028       	5         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	2659      	          	          	          	1.29      	25        	0.034       	7         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	2714      	          	          	          	1.9       	3         	0.052       	8         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	3231      	          	          	          	1.3       	3         	0.041       	9         
28 	NE     	10 	18 	0.0        	     	0+        	B-      	20 MS 1       	0.02              	28NA    	G        	            	3457      	          	          	          	0.94      	23        	0.032       	8         
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	BP       	            	944.8     	6         	2174.4    	3         	5.06      	13        	0.0478      	12        
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	BP       	            	1110.3    	6         	2525.1    	3         	94.84     	13        	1.0530      	16        
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	BP AV    	            	1102      	3         	          	          	99.90     	18        	1.101       	3         
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	E        	Auger K     	0.82      	          	          	          	3.6E-4    	7         	3.0E-9      	6         
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	G        	XR ka2      	0.848     	          	          	          	2.2E-6    	5         	1.9E-11     	4         
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	G        	XR ka1      	0.849     	          	          	          	4.4E-6    	10        	3.8E-11     	8         
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	G        	            	350.725   	8         	          	          	5.07      	13        	0.0178      	5         
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	G        	Annihil.    	511.0     	          	          	          	199.8     	4         	            	          
21 	NA     	11 	10 	0.0        	     	3/2+      	B+      	22.49 S 4     	22.49             	21NE    	G        	            	2793.94   	5         	          	          	4.0E-4    	8         	1.12E-5     	22        
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	BP       	            	215.54    	21        	545.67    	18        	90.326    	15        	0.19469     	19        
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	BP       	            	835.00    	23        	1820.20   	17        	0.056     	14        	4.7E-4      	12        
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	BP AV    	            	215.9     	3         	          	          	90.382    	21        	0.19516     	23        
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	E        	Auger K     	0.82      	          	          	          	8.74      	3         	7.168E-5    	25        
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	G        	XR ka2      	0.848     	          	          	          	0.053     	5         	4.5E-7      	5         
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	G        	XR ka1      	0.849     	          	          	          	0.107     	11        	9.0E-7      	9         
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	G        	Annihil.    	511.0     	          	          	          	180.76    	4         	            	          
22 	NA     	11 	11 	0.0        	     	3+        	B+      	2.6018 Y 22   	8.211E7           	22NE    	G        	            	1274.537  	7         	          	          	99.940    	14        	1.27377     	18        
24 	NA     	11 	13 	472.2074   	8    	1+        	IT      	20.18 MS 10   	0.0202            	24NA    	G        	            	472.2024  	8         	          	          	99.95     	          	0.4719663   	          
24 	NA     	11 	13 	472.207    	9    	1+        	B-      	20.20 MS 7    	0.0202            	24MG    	BM       	            	2768.3    	3         	5985.8    	6         	0.05      	          	0.00138415  	          
24 	NA     	11 	13 	472.207    	9    	1+        	B-      	20.20 MS 7    	0.0202            	24MG    	BM AV    	            	2768.3    	          	          	          	0.05      	          	0.00138     	          
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	BM       	            	89.24     	22        	280.33    	9         	0.076     	3         	6.8E-5      	3         
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	BM       	            	554.1     	3         	1392.56   	8         	99.855    	5         	0.5533      	3         
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	BM       	            	1865.5    	3         	4146.78   	8         	0.064     	6         	0.00119     	11        
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	BM AV    	            	554.6     	3         	          	          	99.995    	8         	0.5546      	3         
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	G        	            	996.6     	10        	          	          	0.00210   	20        	2.09E-5     	20        
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	G        	            	1368.626  	5         	          	          	99.9936   	15        	1.368538    	21        
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	G        	            	2754.007  	11        	          	          	99.855    	5         	2.75001     	14        
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	G        	            	2871.0    	10        	          	          	2.5E-4    	4         	7.2E-6      	11        
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	G        	            	3866.22   	15        	          	          	0.074     	3         	0.00286     	12        
24 	NA     	11 	13 	0          	     	4+        	B-      	14.997 H 12   	53989.2           	24MG    	G        	            	4238.9    	10        	          	          	8.4E-4    	10        	3.6E-5      	4         
25 	NA     	11 	14 	0.0        	     	5/2+      	B-      	59.1 S 6      	59.1              	25MG    	BM       	            	395       	3         	1033.5    	12        	0.247     	4         	9.76E-4     	17        
